UID|User|AllocTRES|AveDiskRead|AveDiskWrite|CPUTimeRAW|TotalCPU|ElapsedRaw|State|Partition|
||cpu=1,mem=1G,node=1|159.25M|140.19M|288|00:06.963|288|COMPLETED||
||billing=2,cpu=2,mem=2G,node=2|0.00M|0.00M|576|00:00.004|288|COMPLETED||
1156277|seunguk|billing=1,cpu=1,mem=1G,node=1|||0|00:00:00|0|FAILED|compute|
||billing=1,cpu=1,mem=1G,node=1|||1|00:00:00|1|CANCELLED||
1093929|gds001|billing=50,cpu=40,mem=50G,node=1|||20840|04:35:30|521|COMPLETED|compute|
||cpu=40,mem=50G,node=1|10128.26M|6433.91M|20840|04:35:30|521|COMPLETED||
||billing=50,cpu=40,mem=50G,node=1|0.00M|0.00M|20840|00:00.002|521|COMPLETED||
1093929|gds001|billing=50,cpu=40,mem=50G,node=1|||19400|04:12:09|485|COMPLETED|compute|
||cpu=40,mem=50G,node=1|9520.62M|6157.81M|19400|04:12:09|485|COMPLETED||
||billing=50,cpu=40,mem=50G,node=1|0.00M|0.00M|19400|00:00.002|485|COMPLETED||
1156277|seunguk|billing=3,cpu=3,mem=3G,node=3|||1575|00:35.785|525|COMPLETED|compute|
||cpu=1,mem=1G,node=1|370.85M|324.30M|525|00:11.775|525|COMPLETED||
||billing=3,cpu=3,mem=3G,node=3|149.19M|104.18M|1578|00:24.010|526|COMPLETED||
1016964|jingyli6|billing=58,cpu=1,gres/gpu:2080ti=1,gres/gpu=1,mem=64G,node=1|||39699|00:00.300|39699|COMPLETED|gpu-2080ti|
||billing=58,cpu=1,gres/gpu:2080ti=1,gres/gpu=1,mem=64G,node=1|0.00M|0.00M|39699|00:00:00|39699|COMPLETED||
||cpu=1,gres/gpu:2080ti=1,gres/gpu=1,mem=64G,node=1|8.12M|0.00M|39699|00:00.299|39699|COMPLETED||
1156277|seunguk|billing=3,cpu=3,mem=3G,node=3|||915|00:46.558|305|FAILED|compute|
||cpu=1,mem=1G,node=1|743.10M|641.55M|305|00:21.538|305|FAILED||
||billing=3,cpu=3,mem=3G,node=3|0.18M|0.01M|915|00:00.006|305|COMPLETED||
||cpu=3,mem=3G,node=3|0|0|45|00:16.950|15|COMPLETED||
||cpu=3,mem=3G,node=3|0|0|27|00:08.063|9|CANCELLED by 1156277||
1156277|seunguk|billing=3,cpu=3,mem=3G,node=3|||2028|00:21.946|676|COMPLETED|compute|
||cpu=1,mem=1G,node=1|178.64M|153.83M|676|00:06.762|676|COMPLETED||
||billing=3,cpu=3,mem=3G,node=3|0.00M|0.00M|2028|00:00.006|676|COMPLETED||
||cpu=3,mem=3G,node=3|0|0|45|00:15.151|15|COMPLETED||
||cpu=3,mem=3G,node=3|0|0|0|00:00.025|0|COMPLETED||
1156277|seunguk||||0|00:00:00|0|CANCELLED by 1156277|compute|
1156277|seunguk|billing=3,cpu=3,mem=3G,node=3|||10173|07:53.882|3391|FAILED|compute|
||cpu=1,mem=1G,node=1|15336.86M|12050.26M|3391|06:43.828|3391|FAILED||
||billing=3,cpu=3,mem=3G,node=3|66.78M|51.49M|10173|01:10.006|3391|COMPLETED||
||cpu=3,mem=3G,node=3|0|0|0|00:00.026|0|COMPLETED||
||cpu=3,mem=3G,node=3|0|0|0|00:00.021|0|COMPLETED||
867998|is28|billing=13,cpu=10,mem=16G,node=1|||117310|1-08:18:44|11731|CANCELLED by 867998|compute|
||cpu=10,mem=16G,node=1|841.02M|186.93M|117320|1-08:18:44|11732|CANCELLED||
||billing=13,cpu=10,mem=16G,node=1|0.00M|0.00M|117310|00:00.002|11731|COMPLETED||
